Index,Data,combo_idx,Nodes,TotalNodes,ObjVal,Crossings,EdgeLength,Runtime,Status
2396,graph_28_95,1,28,94,129.0,44,409,1.9659841060638428,2
2397,graph_28_96,1,28,63,396.0,70,263,4.261948823928833,2
2398,graph_28_97,1,28,56,298.0,60,243,0.8372528553009033,2
2399,graph_28_98,1,28,86,347.0,59,472,3.756258249282837,2
2400,graph_28_99,1,28,74,380.0,65,314,2.538053274154663,2
2401,graph_29_0,1,29,36,18.0,4,66,0.05697298049926758,2
2402,graph_29_1,1,28,49,10.0,4,80,0.08667182922363281,2
2403,graph_29_2,1,29,37,32.0,6,117,0.09537458419799805,2
2404,graph_29_3,1,29,35,8.0,2,57,0.04731583595275879,2
2405,graph_29_4,1,29,45,19.0,3,68,0.1443336009979248,2
2406,graph_29_5,1,29,32,17.0,5,41,0.03807663917541504,2
2407,graph_29_6,1,29,48,0.0,0,85,0.06270956993103027,2
2408,graph_29_7,1,29,40,13.0,4,73,0.08411884307861328,2
2409,graph_29_8,1,29,41,32.0,6,151,0.1563889980316162,2
2410,graph_29_9,1,29,36,36.0,8,107,0.07037949562072754,2
2411,graph_29_10,1,29,39,33.0,8,92,0.12698936462402344,2
2412,graph_29_11,1,29,50,37.0,9,120,0.09818816184997559,2
2413,graph_29_12,1,29,46,27.0,6,91,0.062441349029541016,2
2414,graph_29_13,1,29,37,57.0,13,120,0.16139626502990723,2
2415,graph_29_14,1,29,47,20.0,6,132,0.061125755310058594,2
2416,graph_29_15,1,28,38,44.0,13,105,0.08338451385498047,2
2417,graph_29_16,1,28,35,44.0,10,83,0.08299493789672852,2
2418,graph_29_17,1,29,45,71.0,14,86,0.1476273536682129,2
2419,graph_29_18,1,29,40,33.0,6,136,0.13679718971252441,2
2420,graph_29_19,1,29,52,52.0,9,110,0.11490750312805176,2
2421,graph_29_20,1,29,45,24.0,5,79,0.1279289722442627,2
2422,graph_29_21,1,29,36,80.0,10,161,0.1399974822998047,2
2423,graph_29_22,1,29,36,62.0,22,158,0.18925809860229492,2
2424,graph_29_23,1,29,39,42.0,14,162,0.1791844367980957,2
2425,graph_29_24,1,29,41,64.0,17,176,0.11790156364440918,2
2426,graph_29_25,1,29,39,35.0,9,72,0.07201957702636719,2
2427,graph_29_26,1,29,53,25.0,9,155,0.07937169075012207,2
2428,graph_29_27,1,29,39,21.0,7,141,0.07402515411376953,2
2429,graph_29_28,1,29,45,106.0,27,169,0.1877591609954834,2
2430,graph_29_29,1,29,36,45.0,14,178,0.1589653491973877,2
2431,graph_29_30,1,29,43,37.0,5,76,0.09489083290100098,2
2432,graph_29_31,1,29,40,83.0,17,137,0.2804396152496338,2
2433,graph_29_32,1,29,59,41.0,18,157,0.18665313720703125,2
