Index,Data,combo_idx,ComboIdx,Nodes,TotalNodes,ObjVal,Crossings,EdgeLength,Runtime,Status
557,graph_15_56,3,3,15,22,0.0,0,46,0.010742902755737305,2
558,graph_15_57,3,3,14,19,0.0,31,54,0.07508039474487305,2
559,graph_15_58,3,3,15,18,0.0,17,31,0.0162966251373291,2
560,graph_15_59,3,3,14,20,0.0,25,67,0.013016223907470703,2
561,graph_15_60,3,3,15,25,0.0,0,41,0.015693187713623047,2
562,graph_15_61,3,3,14,25,0.0,26,62,0.017318010330200195,2
563,graph_15_62,3,3,14,22,0.0,3,58,0.016463279724121094,2
564,graph_15_63,3,3,13,24,0.0,24,44,0.015860319137573242,2
565,graph_15_64,3,3,14,21,0.0,0,47,0.01568436622619629,2
566,graph_15_65,3,3,15,21,0.0,2,27,0.11837172508239746,2
567,graph_15_66,3,3,15,19,0.0,3,59,0.04538106918334961,2
568,graph_15_67,3,3,14,19,0.25,7,25,0.0189056396484375,2
569,graph_15_68,3,3,14,19,0.0,13,46,0.08292675018310547,2
570,graph_15_69,3,3,15,21,0.0,33,52,1.8832476139068604,2
571,graph_15_70,3,3,15,18,0.0,9,37,0.010786056518554688,2
572,graph_15_71,3,3,15,18,0.2857142857142856,16,39,0.30231356620788574,2
573,graph_15_72,3,3,15,24,0.0,21,48,0.03610801696777344,2
574,graph_15_73,3,3,15,18,0.25,15,34,0.04646492004394531,2
575,graph_15_74,3,3,14,23,0.0625,24,76,2.6672911643981934,2
576,graph_15_75,3,3,15,21,0.0,1,56,0.015670061111450195,2
577,graph_15_76,3,3,15,21,0.1538461538461542,11,44,0.22657012939453125,2
578,graph_15_77,3,3,15,20,0.0,6,40,0.02378988265991211,2
579,graph_15_78,3,3,15,23,0.0,0,54,0.021263599395751953,2
580,graph_15_79,3,3,14,18,0.0,39,59,0.14901232719421387,2
581,graph_15_80,3,3,14,19,0.0,33,68,0.06817507743835449,2
582,graph_15_81,3,3,15,24,0.07692307692307754,18,42,0.028319120407104492,2
583,graph_15_82,3,3,13,23,0.22222222222222143,20,57,0.14290881156921387,2
584,graph_15_83,3,3,13,24,0.0,39,82,0.01547098159790039,2
585,graph_15_84,3,3,14,24,0.0,42,67,1.5469493865966797,2
586,graph_15_85,3,3,13,26,0.11111111111111116,8,48,0.12344503402709961,2
587,graph_15_86,3,3,15,27,0.0,39,79,0.06645560264587402,2
588,graph_15_87,3,3,14,21,0.0,31,48,0.040128469467163086,2
589,graph_15_88,3,3,14,25,0.0,4,48,0.13864588737487793,2
590,graph_15_89,3,3,15,21,0.0,0,42,0.013578176498413086,2
591,graph_15_90,3,3,14,21,0.0,2,42,0.011819601058959961,2
592,graph_15_91,3,3,15,26,0.19999999999999996,14,59,2.6878576278686523,2
593,graph_15_92,3,3,15,18,0.0,2,27,0.012218475341796875,2
594,graph_15_93,3,3,14,22,0.0,23,55,0.04797101020812988,2
595,graph_15_94,3,3,14,28,0.0,0,48,0.017701387405395508,2
596,graph_15_95,3,3,15,21,0.0,36,56,0.059891462326049805,2
597,graph_15_96,3,3,13,25,0.0,39,79,0.18261075019836426,2
598,graph_15_97,3,3,14,23,0.25,14,63,0.05839204788208008,2
599,graph_15_98,3,3,13,21,0.0,28,66,0.043633222579956055,2
600,graph_15_99,3,3,14,21,0.0,11,56,0.020793676376342773,2
601,graph_15_100,3,3,14,21,0.0,19,57,0.07852792739868164,2
602,graph_15_101,3,3,15,23,0.07142857142857162,12,36,0.04712104797363281,2
603,graph_15_102,3,3,15,20,0.0,12,69,0.015172719955444336,2
604,graph_15_103,3,3,15,29,0.0,42,91,0.23048043251037598,2
605,graph_15_104,3,3,13,22,0.0,0,32,0.012126445770263672,2
606,graph_15_105,3,3,14,36,0.0,44,94,0.04907393455505371,2
607,graph_15_106,3,3,15,25,0.0,39,82,0.021244287490844727,2
608,graph_15_107,3,3,15,23,0.0,41,65,3.3172597885131836,2
609,graph_15_108,3,3,13,25,0.0,43,82,0.02672433853149414,2
610,graph_15_109,3,3,15,23,0.0,30,56,0.12364530563354492,2
611,graph_15_110,3,3,14,18,0.0,38,83,0.021064043045043945,2
612,graph_15_111,3,3,14,19,0.0,3,30,0.01129603385925293,2
613,graph_15_112,3,3,14,19,0.11111111111111116,26,59,0.019026756286621094,2
614,graph_15_113,3,3,14,22,0.0,27,53,0.06228137016296387,2
615,graph_15_114,3,3,13,18,0.0,20,65,0.019021034240722656,2
616,graph_15_115,3,3,14,24,0.0,4,36,0.014461278915405273,2
617,graph_15_116,3,3,15,24,0.0,21,59,0.013120889663696289,2
618,graph_15_117,3,3,15,30,0.0,16,60,0.02561044692993164,2
619,graph_15_118,3,3,15,20,0.0,7,29,0.048432111740112305,2
620,graph_15_119,3,3,15,24,0.0,0,33,0.0191037654876709,2
621,graph_15_120,3,3,15,28,0.0,37,85,0.022399425506591797,2
622,graph_15_121,3,3,15,23,0.0,39,75,0.045842885971069336,2
623,graph_15_122,3,3,15,31,0.0,59,96,4.669531583786011,2
624,graph_15_123,3,3,14,28,0.0,40,83,0.16071319580078125,2
625,graph_15_124,3,3,14,23,0.0,60,99,0.3175933361053467,2
626,graph_15_125,3,3,15,21,0.0,38,75,0.04368114471435547,2
627,graph_15_126,3,3,13,27,0.0,47,92,0.0538477897644043,2
628,graph_15_127,3,3,15,22,0.0,38,61,0.06255245208740234,2
629,graph_15_128,3,3,15,23,0.0,37,90,0.10773277282714844,2
630,graph_15_129,3,3,14,27,0.0,62,96,0.15254878997802734,2
631,graph_15_130,3,3,13,28,0.0,43,82,0.06451916694641113,2
632,graph_15_131,3,3,15,23,0.25,14,53,0.07414555549621582,2
633,graph_15_132,3,3,13,25,0.0,11,92,0.05440688133239746,2
634,graph_15_133,3,3,15,19,0.0,37,72,0.1292893886566162,2
635,graph_15_134,3,3,14,21,0.0,41,78,0.10384154319763184,2
636,graph_15_135,3,3,14,25,0.0,51,91,0.040885210037231445,2
637,graph_15_136,3,3,15,23,0.0,33,55,0.05144309997558594,2
638,graph_15_137,3,3,14,28,0.0,21,71,0.04723525047302246,2
639,graph_15_138,3,3,15,24,0.0,23,70,0.022319555282592773,2
640,graph_15_139,3,3,12,30,0.0,14,79,0.037789344787597656,2
641,graph_15_140,3,3,14,22,0.0,12,56,0.04496026039123535,2
642,graph_15_141,3,3,15,22,0.0,18,48,0.03821206092834473,2
643,graph_15_142,3,3,15,23,0.0,5,69,0.026312589645385742,2
644,graph_15_143,3,3,15,28,0.0,28,60,0.03717374801635742,2
645,graph_15_144,3,3,15,28,0.0,41,83,0.09709930419921875,2
646,graph_15_145,3,3,15,22,0.11111111111111116,21,50,0.06391191482543945,2
647,graph_15_146,3,3,14,31,0.0,47,89,0.3402256965637207,2
648,graph_15_147,3,3,15,23,0.0,37,65,0.06311321258544922,2
649,graph_15_148,3,3,14,21,0.0,39,85,0.02745342254638672,2
650,graph_15_149,3,3,15,19,1.0,19,52,0.041330814361572266,2
651,graph_15_150,3,3,15,21,0.0,33,63,0.06305575370788574,2
652,graph_15_151,3,3,14,30,0.0,25,62,0.03038167953491211,2
653,graph_15_152,3,3,15,24,0.0,35,84,0.039423465728759766,2
654,graph_15_153,3,3,14,30,0.0,0,40,0.019194841384887695,2
655,graph_15_154,3,3,14,27,0.0,36,83,0.16433048248291016,2
656,graph_15_155,3,3,15,24,0.0,29,80,0.017869949340820312,2
657,graph_15_156,3,3,15,26,0.0,28,70,0.02266073226928711,2
658,graph_15_157,3,3,15,25,0.0,48,89,0.047724246978759766,2
659,graph_15_158,3,3,15,24,0.0,35,109,0.04545092582702637,2
660,graph_15_159,3,3,15,25,0.0,29,50,0.09562253952026367,2
661,graph_15_160,3,3,15,24,0.0,9,52,0.045615196228027344,2
