Index,Data,combo_idx,ComboIdx,Nodes,TotalNodes,ObjVal,Crossings,EdgeLength,Runtime,Status
904,graph_20_153,24,24,20,41,501.4999995794259,13,57.5000000000028,300.37613224983215,9
905,graph_20_154,24,24,20,31,365.99995593394897,13,50.99995938475281,81.2508373260498,2
906,graph_20_155,24,24,20,31,471.0,20,54.0,245.11213660240173,2
907,graph_20_156,24,24,20,35,388.5,14,53.5,217.9746778011322,2
908,graph_20_157,24,24,20,36,470.49999999999955,12,46.49999999999984,300.21165704727173,9
909,graph_20_158,24,24,20,39,550.9999950892385,19,60.99999895572076,303.97636342048645,9
910,graph_20_159,24,24,19,33,448.0,18,67.0,239.07436656951904,2
911,graph_20_160,24,24,20,30,335.0,6,40.0,98.36351680755615,2
912,graph_20_161,24,24,18,32,373.0,5,48.0,159.51560831069946,2
913,graph_20_162,24,24,20,32,399.0,12,48.0,132.93267512321472,2
914,graph_20_163,24,24,20,46,543.4999979221174,13,88.50000005622434,300.1295952796936,9
915,graph_20_164,24,24,19,35,440.0000000000023,13,56.00000000000225,300.282345533371,9
916,graph_20_165,24,24,19,32,344.0,6,52.0,121.53016209602356,2
917,graph_20_166,24,24,19,36,522.5,16,74.5,300.56409335136414,9
918,graph_20_167,24,24,20,36,538.0000000000005,22,67.00000000000048,300.4192214012146,9
919,graph_20_168,24,24,20,43,585.4999995439865,12,74.5000000000001,300.32534289360046,9
920,graph_20_169,24,24,19,35,402.0,13,57.0,172.59564208984375,2
921,graph_20_170,24,24,20,38,603.9999999999992,9,66.00000000000009,311.23037672042847,9
922,graph_20_171,24,24,18,27,557.0,31,67.0,222.47972893714905,2
923,graph_20_172,24,24,19,29,419.0,19,60.0,107.7868447303772,2
924,graph_20_173,24,24,19,50,423.4999999999999,9,56.500000000000036,300.4224269390106,9
925,graph_20_174,24,24,19,32,527.0,19,80.00000000000001,300.08449816703796,2
926,graph_20_175,24,24,19,35,532.9999999999957,26,69.00000000001562,300.3595881462097,9
927,graph_20_176,24,24,19,39,630.0000000000257,23,79.00000000002623,300.30080938339233,9
928,graph_20_177,24,24,20,41,642.9999999999998,21,85.0000000000001,300.22880148887634,9
929,graph_20_178,24,24,19,43,643.0,18,80.0,300.3294632434845,9
930,graph_20_179,24,24,19,45,661.4999999999993,29,99.50000000000047,300.3527641296387,9
931,graph_20_180,24,24,19,38,590.0,21,69.0,300.5340955257416,9
932,graph_20_181,24,24,19,44,800.9999960352385,40,97.00000125,300.3103747367859,9
933,graph_20_182,24,24,20,29,502.0,27,65.0,139.08957052230835,2
934,graph_20_183,24,24,20,35,569.9999993333327,42,89.99999999999997,301.14799427986145,9
935,graph_20_184,24,24,20,36,554.4999981236217,29,71.5000006455605,300.3047013282776,9
936,graph_20_185,24,24,20,42,779.9999999999986,39,98.99999999999933,300.4399788379669,9
937,graph_20_186,24,24,20,44,659.999999697902,29,92.99999999999987,300.32905983924866,9
938,graph_20_187,24,24,20,48,759.9999999999994,21,98.0,300.29999709129333,9
939,graph_20_188,24,24,20,48,800.9999970867125,33,92.999999791775,300.2346439361572,9
940,graph_20_189,24,24,20,49,731.999999999999,27,83.0,300.31293082237244,9
941,graph_20_190,24,24,20,44,700.000000000005,30,97.00000000000759,300.3024322986603,9
