Index,File,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Work,Nodes visited,Setup Time
127,Rome-Lib/graficon14nodi/grafo524.14,36,36,87,108,0,0.002,0.0012,0,0.004
128,Rome-Lib/graficon13nodi/grafo760.13,34,32,81,97,0,0.003,0.0013,1,0.002
129,Rome-Lib/graficon11nodi/grafo1134.11,30,26,71,80,0,0.002,0.001,0,0.002
130,Rome-Lib/graficon12nodi/grafo354.12,26,24,65,73,0,0.001,0.0008,0,0.002
131,Rome-Lib/graficon11nodi/grafo2384.11,18,10,43,34,0,0.001,0.0004,0,0.002
132,Rome-Lib/graficon14nodi/grafo487.14,16,6,37,23,0,0.002,0.0003,0,0.001
133,Rome-Lib/graficon14nodi/grafo2460.14,44,46,105,137,0,0.004,0.0017,1,0.003
134,Rome-Lib/graficon15nodi/grafo1025.15,44,54,114,157,1,0.003,0.0019,0,0.004
135,Rome-Lib/graficon12nodi/grafo207.12,28,22,66,69,0,0.002,0.0009,0,0.002
136,Rome-Lib/graficon12nodi/grafo897.12,36,26,78,83,0,0.002,0.0012,0,0.002
137,Rome-Lib/graficon13nodi/grafo430.13,26,28,70,83,0,0.002,0.001,0,0.002
138,Rome-Lib/graficon10nodi/grafo1657.10,62,84,162,241,1,0.006,0.0032,1,0.005
139,Rome-Lib/graficon11nodi/grafo1795.11,54,62,132,182,0,0.005,0.0024,1,0.005
140,Rome-Lib/graficon12nodi/grafo2707.12,40,44,100,130,1,0.003,0.0015,0,0.003
141,Rome-Lib/graficon13nodi/grafo229.13,28,22,66,69,0,0.003,0.0009,0,0.002
142,Rome-Lib/graficon15nodi/grafo2377.15,22,12,50,41,0,0.002,0.0006,0,0.002
143,Rome-Lib/graficon12nodi/grafo2359.12,94,120,230,347,3,0.009,0.005,1,0.008
144,Rome-Lib/graficon14nodi/grafo642.14,38,38,92,114,1,0.004,0.0016,1,0.003
145,Rome-Lib/graficon14nodi/grafo2733.14,68,78,162,229,1,0.006,0.0033,1,0.006
146,Rome-Lib/graficon16nodi/grafo853.16,36,34,86,103,0,0.002,0.0013,0,0.003
147,Rome-Lib/graficon13nodi/grafo577.13,48,32,96,104,0,0.003,0.0018,1,0.003
148,Rome-Lib/graficon13nodi/grafo818.13,48,44,108,134,0,0.004,0.0017,0,0.004
149,Rome-Lib/graficon14nodi/grafo2319.14,34,36,86,107,1,0.003,0.0014,1,0.003
150,Rome-Lib/graficon15nodi/grafo2791.15,26,18,60,58,0,0.002,0.0007,0,0.002
151,Rome-Lib/graficon16nodi/grafo553.16,30,14,60,50,0,0.002,0.0009,0,0.002
152,Rome-Lib/graficon14nodi/grafo414.14,42,34,92,106,0,0.003,0.0015,0,0.003
153,Rome-Lib/graficon14nodi/grafo731.14,30,28,74,85,0,0.003,0.0011,1,0.002
154,Rome-Lib/graficon14nodi/grafo2926.14,48,28,92,94,0,0.003,0.0017,1,0.003
155,Rome-Lib/graficon10nodi/grafo1704.10,62,84,162,241,1,0.005,0.0032,1,0.005
156,Rome-Lib/graficon15nodi/grafo516.15,36,44,96,128,0,0.004,0.0015,1,0.003
157,Rome-Lib/graficon13nodi/grafo2218.13,30,32,78,95,1,0.003,0.0011,0,0.002
158,Rome-Lib/graficon11nodi/grafo996.11,30,28,74,85,0,0.002,0.001,0,0.003
159,Rome-Lib/graficon15nodi/grafo725.15,44,36,96,112,0,0.005,0.0018,1,0.003
160,Rome-Lib/graficon14nodi/grafo255.14,66,86,168,248,2,0.006,0.0033,1,0.005
161,Rome-Lib/graficon14nodi/grafo2527.14,56,66,138,193,2,0.006,0.0026,1,0.005
162,Rome-Lib/graficon16nodi/grafo823.16,28,26,70,79,1,0.002,0.0009,0,0.002
163,Rome-Lib/graficon13nodi/grafo2197.13,48,50,114,149,0,0.004,0.0021,1,0.004
164,Rome-Lib/graficon12nodi/grafo2240.12,24,22,62,67,0,0.002,0.0008,1,0.002
165,Rome-Lib/graficon14nodi/grafo2291.14,68,70,154,209,1,0.004,0.0032,1,0.004
166,Rome-Lib/graficon14nodi/grafo1969.14,40,42,98,125,2,0.003,0.0015,1,0.003
167,Rome-Lib/graficon13nodi/grafo2340.13,32,26,74,81,0,0.002,0.0011,0,0.002
168,Rome-Lib/graficon12nodi/grafo2512.12,54,74,144,212,1,0.005,0.0026,1,0.005
169,Rome-Lib/graficon12nodi/grafo334.12,30,24,70,75,0,0.002,0.0009,0,0.002
170,Rome-Lib/graficon16nodi/grafo237.16,38,36,90,109,1,0.002,0.0014,0,0.002
171,Rome-Lib/graficon15nodi/grafo236.15,74,88,178,257,1,0.007,0.0038,1,0.006
172,Rome-Lib/graficon12nodi/grafo770.12,36,26,78,83,0,0.003,0.0012,0,0.003
173,Rome-Lib/graficon14nodi/grafo3087.14,62,52,130,161,0,0.004,0.0024,0,0.006
174,Rome-Lib/graficon15nodi/grafo1961.15,36,34,86,103,0,0.004,0.0012,0,0.004
175,Rome-Lib/graficon14nodi/grafo737.14,64,58,138,177,1,0.007,0.0033,1,0.004
176,Rome-Lib/graficon10nodi/grafo1774.10,62,84,162,241,1,0.006,0.0032,1,0.005
177,Rome-Lib/graficon14nodi/grafo1083.14,54,38,108,122,1,0.005,0.0023,1,0.004
178,Rome-Lib/graficon12nodi/grafo781.12,36,26,78,83,0,0.003,0.0012,0,0.003
179,Rome-Lib/graficon14nodi/grafo211.14,36,36,89,108,1,0.002,0.0013,0,0.003
180,Rome-Lib/graficon14nodi/grafo2189.14,62,60,139,181,1,0.006,0.0028,1,0.004
181,Rome-Lib/graficon16nodi/grafo785.16,38,34,89,104,0,0.002,0.0013,0,0.003
182,Rome-Lib/graficon15nodi/grafo556.15,52,32,101,106,0,0.002,0.0017,0,0.003
183,Rome-Lib/graficon16nodi/grafo2142.16,46,40,103,123,0,0.003,0.0016,0,0.003
184,Rome-Lib/graficon17nodi/grafo2615.17,18,12,47,39,0,0.003,0.0005,1,0.002
185,Rome-Lib/graficon12nodi/grafo1938.12,32,30,79,91,0,0.002,0.0011,0,0.003
186,Rome-Lib/graficon16nodi/grafo1177.16,38,26,81,84,0,0.002,0.0012,0,0.002
187,Rome-Lib/graficon15nodi/grafo1738.15,58,62,137,184,0,0.003,0.0022,0,0.004
188,Rome-Lib/graficon15nodi/grafo1883.15,80,86,183,255,0,0.004,0.0033,0,0.006
189,Rome-Lib/graficon12nodi/grafo766.12,24,18,59,57,0,0.002,0.0008,0,0.002
190,Rome-Lib/graficon14nodi/grafo777.14,32,26,75,81,0,0.001,0.001,0,0.002
191,Rome-Lib/graficon16nodi/grafo366.16,48,44,109,134,0,0.003,0.0017,0,0.003
192,Rome-Lib/graficon12nodi/grafo1807.12,68,96,181,274,2,0.004,0.0033,1,0.006
193,Rome-Lib/graficon15nodi/grafo607.15,46,54,117,158,2,0.005,0.0022,1,0.004
194,Rome-Lib/graficon12nodi/grafo2458.12,44,44,105,132,1,0.003,0.0015,0,0.004
195,Rome-Lib/graficon15nodi/grafo2568.15,68,92,177,264,1,0.007,0.0036,1,0.006
196,Rome-Lib/graficon14nodi/grafo1620.14,32,28,77,86,0,0.003,0.0011,1,0.003
197,Rome-Lib/graficon15nodi/grafo2318.15,50,56,123,165,0,0.005,0.0022,1,0.004
198,Rome-Lib/graficon17nodi/grafo880.17,20,10,47,35,0,0.002,0.0006,0,0.001
199,Rome-Lib/graficon15nodi/grafo2887.15,98,114,229,334,0,0.008,0.0052,1,0.008
200,Rome-Lib/graficon12nodi/grafo576.12,18,10,45,34,0,0.001,0.0005,0,0.001
201,Rome-Lib/graficon15nodi/grafo965.15,46,40,103,123,1,0.003,0.0019,1,0.003
202,Rome-Lib/graficon13nodi/grafo714.13,28,24,69,74,0,0.003,0.0009,1,0.003
203,Rome-Lib/graficon17nodi/grafo2871.17,70,56,143,175,0,0.006,0.0032,1,0.005
204,Rome-Lib/graficon15nodi/grafo253.15,56,58,131,173,0,0.003,0.0021,0,0.004
205,Rome-Lib/graficon11nodi/grafo1077.11,24,20,61,62,0,0.004,0.0007,1,0.002
206,Rome-Lib/graficon15nodi/grafo2331.15,36,34,87,103,0,0.005,0.0014,1,0.003
207,Rome-Lib/graficon16nodi/grafo2241.16,68,112,197,314,5,0.016,0.0055,1,0.006
208,Rome-Lib/graficon13nodi/grafo793.13,48,52,117,154,1,0.003,0.0017,0,0.004
209,Rome-Lib/graficon14nodi/grafo2392.14,58,50,125,154,1,0.003,0.0024,1,0.004
210,Rome-Lib/graficon15nodi/grafo331.15,58,48,123,149,0,0.005,0.0025,1,0.004
211,Rome-Lib/graficon14nodi/grafo2919.14,42,38,97,116,0,0.003,0.0015,0,0.003
212,Rome-Lib/graficon16nodi/grafo322.16,52,46,115,141,0,0.005,0.0022,1,0.003
213,Rome-Lib/graficon14nodi/grafo720.14,32,34,83,101,0,0.002,0.0012,0,0.003
214,Rome-Lib/graficon14nodi/grafo2338.14,50,50,117,150,0,0.004,0.0022,1,0.004
215,Rome-Lib/graficon14nodi/grafo212.14,32,18,67,61,0,0.003,0.0009,0,0.002
216,Rome-Lib/graficon12nodi/grafo193.12,40,32,89,100,0,0.004,0.0015,1,0.003
217,Rome-Lib/graficon11nodi/grafo1734.11,46,40,103,123,1,0.003,0.0016,0,0.004
218,Rome-Lib/graficon12nodi/grafo666.12,48,52,117,154,1,0.002,0.0017,0,0.004
219,Rome-Lib/graficon14nodi/grafo567.14,48,62,127,179,2,0.003,0.0018,0,0.004
220,Rome-Lib/graficon14nodi/grafo2772.14,56,48,122,148,0,0.005,0.0022,1,0.004
221,Rome-Lib/graficon12nodi/grafo593.12,84,68,170,212,0,0.005,0.0037,1,0.005
222,Rome-Lib/graficon17nodi/grafo422.17,84,108,210,312,0,0.005,0.0038,0,0.008
223,Rome-Lib/graficon13nodi/grafo878.13,70,66,154,200,0,0.004,0.0031,1,0.005
224,Rome-Lib/graficon13nodi/grafo351.13,68,76,162,224,0,0.003,0.0028,0,0.005
225,Rome-Lib/graficon13nodi/grafo406.13,32,32,82,96,1,0.003,0.0012,1,0.002
226,Rome-Lib/graficon12nodi/grafo970.12,38,36,92,109,0,0.005,0.0014,1,0.003
227,Rome-Lib/graficon15nodi/grafo886.15,60,70,148,205,0,0.005,0.0028,1,0.005
228,Rome-Lib/graficon15nodi/grafo2817.15,28,22,68,69,0,0.002,0.0009,0,0.002
229,Rome-Lib/graficon16nodi/grafo1029.16,18,10,46,34,0,0.002,0.0005,0,0.001
230,Rome-Lib/graficon14nodi/grafo2900.14,40,40,98,120,0,0.004,0.0017,1,0.003
231,Rome-Lib/graficon12nodi/grafo713.12,48,40,106,124,0,0.002,0.0017,0,0.003
232,Rome-Lib/graficon13nodi/grafo510.13,66,82,166,238,1,0.004,0.0027,0,0.006
233,Rome-Lib/graficon13nodi/grafo440.13,46,38,102,118,0,0.004,0.0017,1,0.004
234,Rome-Lib/graficon15nodi/grafo2352.15,38,38,94,114,0,0.004,0.0016,1,0.003
235,Rome-Lib/graficon17nodi/grafo1845.17,52,48,118,146,0,0.005,0.0021,1,0.004
236,Rome-Lib/graficon13nodi/grafo618.13,112,138,268,401,6,0.008,0.0061,1,0.009
237,Rome-Lib/graficon13nodi/grafo2313.13,32,30,80,91,0,0.002,0.001,0,0.002
238,Rome-Lib/graficon14nodi/grafo926.14,66,70,154,208,1,0.005,0.003,1,0.005
239,Rome-Lib/graficon17nodi/grafo2750.17,74,76,168,227,0,0.007,0.0035,1,0.005
240,Rome-Lib/graficon15nodi/grafo480.15,40,38,96,115,0,0.003,0.0014,0,0.003
241,Rome-Lib/graficon11nodi/grafo1060.11,46,38,102,118,0,0.005,0.0018,1,0.003
242,Rome-Lib/graficon14nodi/grafo2471.14,58,50,126,154,0,0.005,0.0024,1,0.004
243,Rome-Lib/graficon13nodi/grafo966.13,30,24,72,75,0,0.003,0.0009,0,0.002
244,Rome-Lib/graficon14nodi/grafo1614.14,58,54,130,164,0,0.004,0.0025,1,0.004
245,Rome-Lib/graficon14nodi/grafo1063.14,24,14,56,47,0,0.004,0.0007,1,0.001
246,Rome-Lib/graficon14nodi/grafo2625.14,48,44,110,134,0,0.003,0.0016,0,0.004
247,Rome-Lib/graficon12nodi/grafo2115.12,60,74,152,215,1,0.003,0.0024,0,0.005
248,Rome-Lib/graficon13nodi/grafo361.13,74,86,179,252,0,0.007,0.0034,1,0.005
249,Rome-Lib/graficon12nodi/grafo2335.12,46,48,113,143,0,0.005,0.0019,1,0.004
250,Rome-Lib/graficon16nodi/grafo2583.16,36,22,77,73,0,0.002,0.0011,0,0.002
251,Rome-Lib/graficon11nodi/grafo1155.11,32,30,81,91,0,0.004,0.0012,1,0.003
252,Rome-Lib/graficon15nodi/grafo2459.15,76,92,187,268,3,0.01,0.0052,1,0.006
253,Rome-Lib/graficon16nodi/grafo2168.16,62,72,153,211,2,0.004,0.0031,1,0.004
254,Rome-Lib/graficon11nodi/grafo557.11,32,30,81,91,0,0.004,0.0012,1,0.002
255,Rome-Lib/graficon13nodi/grafo2354.13,68,70,157,209,1,0.006,0.0031,1,0.005
256,Rome-Lib/graficon16nodi/grafo2355.16,46,36,101,113,0,0.005,0.0017,1,0.003
257,Rome-Lib/graficon13nodi/grafo431.13,62,56,137,171,0,0.003,0.0023,0,0.005
258,Rome-Lib/graficon17nodi/grafo1122.17,20,14,53,45,0,0.003,0.0005,1,0.001
259,Rome-Lib/graficon16nodi/grafo998.16,60,54,133,165,0,0.003,0.0023,0,0.004
260,Rome-Lib/graficon14nodi/grafo2154.14,76,78,173,233,1,0.008,0.0037,1,0.005
261,Rome-Lib/graficon13nodi/grafo958.13,84,92,195,272,0,0.005,0.004,1,0.006
262,Rome-Lib/graficon15nodi/grafo1618.15,84,86,189,257,0,0.005,0.004,1,0.007
263,Rome-Lib/graficon15nodi/grafo1971.15,76,94,189,273,1,0.007,0.0036,1,0.006
264,Rome-Lib/graficon15nodi/grafo2783.15,56,50,125,153,1,0.005,0.0023,1,0.005
265,Rome-Lib/graficon16nodi/grafo547.16,72,70,161,211,0,0.006,0.0034,1,0.005
266,Rome-Lib/graficon16nodi/grafo668.16,72,84,175,246,2,0.004,0.0029,0,0.006
267,Rome-Lib/graficon17nodi/grafo565.17,20,14,53,45,0,0.003,0.0005,1,0.001
268,Rome-Lib/graficon15nodi/grafo729.15,42,40,101,121,0,0.004,0.0018,1,0.004
269,Rome-Lib/graficon16nodi/grafo845.16,78,86,183,254,1,0.009,0.0046,1,0.006
270,Rome-Lib/graficon13nodi/grafo559.13,36,32,87,98,0,0.003,0.0012,0,0.003
271,Rome-Lib/graficon16nodi/grafo2183.16,66,56,141,173,1,0.003,0.0026,0,0.004
